id,run_id,index,timeToInform95PercentAgents
0,0,0,4.0
1,0,0,4.0
2,0,0,4.0
3,0,0,6.400000000000006
4,0,0,6.400000000000006
5,0,0,6.400000000000006
6,0,0,6.0
7,0,0,6.0
8,0,0,6.0
9,0,0,3.200000000000003
10,0,0,3.200000000000003
11,0,0,3.200000000000003
12,0,0,4.800000000000011
13,0,0,4.800000000000011
14,0,0,4.800000000000011
15,0,0,6.400000000000006
16,0,0,6.400000000000006
17,0,0,6.400000000000006
18,0,0,3.200000000000003
19,0,0,3.200000000000003
20,0,0,3.200000000000003
21,0,0,4.800000000000011
22,0,0,4.800000000000011
23,0,0,4.800000000000011
24,0,0,6.400000000000006
25,0,0,6.400000000000006
26,0,0,6.400000000000006
