id,run_id,index,timeToInform95PercentAgents
0,0,0,3.200000000000003
1,0,0,3.200000000000003
2,0,0,3.200000000000003
3,0,0,2.800000000000012
4,0,0,2.800000000000012
5,0,0,2.800000000000012
6,0,0,6.0
7,0,0,6.0
8,0,0,6.0
9,0,0,3.200000000000003
10,0,0,3.200000000000003
11,0,0,3.200000000000003
12,0,0,2.800000000000012
13,0,0,2.800000000000012
14,0,0,2.800000000000012
15,0,0,3.6000000000000085
16,0,0,3.6000000000000085
17,0,0,3.6000000000000085
18,0,0,2.0
19,0,0,2.0
20,0,0,2.0
21,0,0,2.800000000000012
22,0,0,2.800000000000012
23,0,0,2.800000000000012
24,0,0,3.6000000000000085
25,0,0,3.6000000000000085
26,0,0,3.6000000000000085
