id,run_id,Unnamed: 0,PoissonParameter
0,0,0,3.814814814814815
1,0,0,3.814814814814815
2,0,0,3.814814814814815
3,0,0,3.731884057971015
4,0,0,3.731884057971015
5,0,0,3.731884057971015
6,0,0,3.7454545454545456
7,0,0,3.7454545454545456
8,0,0,3.7454545454545456
9,0,0,12.313432835820896
10,0,0,12.313432835820896
11,0,0,12.313432835820896
12,0,0,12.132352941176473
13,0,0,12.132352941176473
14,0,0,12.132352941176473
15,0,0,11.956521739130435
16,0,0,11.956521739130435
17,0,0,11.956521739130435
18,0,0,20.78358208955224
19,0,0,20.78358208955224
20,0,0,20.78358208955224
21,0,0,20.477941176470587
22,0,0,20.477941176470587
23,0,0,20.477941176470587
24,0,0,20.181159420289852
25,0,0,20.181159420289852
26,0,0,20.181159420289852
