timeStep meas_area_1 meas_area_2 meas_area_3
27 0.039285714285714285 0.0 0.0
32 0.04587912085714285 0.0 0.0
37 0.052472527428571426 0.0 0.0
42 0.09642857142857143 0.0 0.0
47 0.09642857142857143 0.0 0.0
52 0.076948052 0.0 0.0
57 0.07532467542857142 0.0 0.0
62 0.07532467542857142 0.0 0.0
67 0.07532467542857142 0.0 0.0
72 0.07532467542857142 0.0 0.017142662857142856
77 0.06493506514285714 0.0 0.017142662857142856
82 0.025681818285714288 0.0 0.02857142857142857
87 0.028896103999999995 0.0 0.045714091428571434
92 0.036396104 0.0 0.028571234285714286
97 0.054253246857142855 0.027257510571428573 0.028571234285714286
102 0.04837662342857143 0.027257510571428573 0.04
107 0.04837662342857143 0.027257510571428573 0.045714091428571434
112 0.046785714285714285 0.02660168657142857 0.045713897142857146
117 0.046785714285714285 0.02660168657142857 0.06285655999999999
122 0.05 0.0 0.07428532571428571
127 0.05 0.0 0.08571428571428572
132 0.028021978 0.0 0.10285694857142857
137 0.03380046942857143 0.0 0.08571389714285714
142 0.06951475514285714 0.0 0.06857104000000001
147 0.07983729771428572 0.0 0.08
152 0.07983729771428572 0.0 0.05714285714285714
157 0.044123011999999996 0.027257510571428573 0.05714266285714286
162 0.11337875628571428 0.027257510571428573 0.05714246857142857
167 0.13376586914285715 0.027257510571428573 0.05714266285714286
172 0.1353567782857143 0.02660168657142857 0.05714285714285714
177 0.13409090914285715 0.05385919714285714 0.05714285714285714
182 0.11461038971428571 0.027257510571428573 0.05714266285714286
187 0.111396104 0.027257510571428573 0.03999980571428571
192 0.10853896114285715 0.02660168657142857 0.028571234285714286
197 0.12961038971428573 0.05385919714285714 0.02857142857142857
202 0.11496753257142857 0.027257510571428573 0.02857142857142857
207 0.11655844171428573 0.027257510571428573 0.011428571428571429
212 0.09548701314285715 0.027257510571428573 0.011428571428571429
217 0.08798701314285715 0.05385919714285714 0.045713897142857146
222 0.12120379628571427 0.05385919714285714 0.03428532571428571
227 0.07672327685714286 0.02660168657142857 0.045714091428571434
232 0.09458041971428573 0.02660168657142857 0.05714285714285714
237 0.06948015485714286 0.02660168657142857 0.07428552000000001
242 0.04863563428571428 0.0 0.05714266285714286
247 0.05536177314285714 0.0 0.05142857142857143
252 0.06156343657142856 0.0 0.04
257 0.05997252742857143 0.0 0.045714091428571434
262 0.051657612285714284 0.0 0.045713897142857146
267 0.103021978 0.027257510571428573 0.045713897142857146
272 0.08516483514285714 0.05451502114285715 0.05714285714285714
277 0.05 0.05451502114285715 0.07428552000000001
282 0.08805408085714286 0.08111670771428571 0.07428532571428571
287 0.10961538457142857 0.08046088371428571 0.07428513142857143
292 0.13159340657142857 0.05385919714285714 0.08571389714285714
297 0.13159340657142857 0.05320337314285714 0.09714285714285714
302 0.125 0.02660168657142857 0.06857142857142857
307 0.10551948057142857 0.02660168657142857 0.05142857142857143
312 0.09769444057142858 0.0 0.03428571428571429
