timeStep areaDensityCountingNormed-PID101 areaDensityCountingNormed-PID102 areaDensityCountingNormed-PID103
1 0.0 0.0 0.0
2 0.0 0.0 0.0
3 0.0 0.0 0.0
4 0.0 0.0 0.0
5 0.02857142857142857 0.0 0.0
6 0.02857142857142857 0.0 0.0
7 0.05714285714285714 0.0 0.0
8 0.05714285714285714 0.0 0.0
9 0.05714285714285714 0.0 0.0
10 0.05714285714285714 0.0 0.0
11 0.05714285714285714 0.0 0.0
12 0.05714285714285714 0.0 0.0
13 0.05714285714285714 0.0 0.0
14 0.05714285714285714 0.0 0.0
15 0.05714285714285714 0.0 0.0
16 0.05714285714285714 0.0 0.0
17 0.05714285714285714 0.0 0.0
18 0.05714285714285714 0.0 0.0
19 0.05714285714285714 0.0 0.0
20 0.05714285714285714 0.0 0.0
21 0.05714285714285714 0.0 0.0
22 0.05714285714285714 0.0 0.0
23 0.05714285714285714 0.0 0.0
24 0.05714285714285714 0.0 0.0
25 0.05714285714285714 0.0 0.0
26 0.05714285714285714 0.0 0.0
27 0.05714285714285714 0.0 0.0
28 0.08571428571428572 0.0 0.0
29 0.08571428571428572 0.0 0.0
30 0.08571428571428572 0.0 0.0
31 0.08571428571428572 0.0 0.0
32 0.11428571428571428 0.0 0.0
33 0.11428571428571428 0.0 0.0
34 0.11428571428571428 0.0 0.0
35 0.11428571428571428 0.0 0.0
36 0.11428571428571428 0.0 0.0
37 0.11428571428571428 0.0 0.0
38 0.11428571428571428 0.0 0.0
39 0.11428571428571428 0.0 0.0
40 0.11428571428571428 0.0 0.0
41 0.11428571428571428 0.0 0.0
42 0.11428571428571428 0.0 0.0
43 0.11428571428571428 0.0 0.0
44 0.11428571428571428 0.0 0.0
45 0.14285714285714285 0.0 0.0
46 0.14285714285714285 0.0 0.0
47 0.14285714285714285 0.0 0.0
48 0.14285714285714285 0.0 0.0
49 0.14285714285714285 0.0 0.0
50 0.14285714285714285 0.0 0.0
51 0.14285714285714285 0.0 0.0
52 0.14285714285714285 0.0 0.0
53 0.14285714285714285 0.0 0.0
54 0.17142857142857143 0.0 0.0
55 0.17142857142857143 0.0 0.0
56 0.17142857142857143 0.0 0.0
57 0.17142857142857143 0.0 0.0
58 0.17142857142857143 0.0 0.0
59 0.14285714285714285 0.0 0.0
60 0.14285714285714285 0.0 0.0
61 0.14285714285714285 0.0 0.0
62 0.14285714285714285 0.0 0.0
63 0.14285714285714285 0.0 0.0
64 0.14285714285714285 0.0 0.0
65 0.14285714285714285 0.0 0.0
66 0.14285714285714285 0.0 0.0
67 0.14285714285714285 0.0 0.0
68 0.14285714285714285 0.0 0.0
69 0.14285714285714285 0.0 0.02857142857142857
70 0.17142857142857143 0.0 0.02857142857142857
71 0.17142857142857143 0.0 0.02857142857142857
72 0.17142857142857143 0.0 0.02857142857142857
73 0.17142857142857143 0.0 0.02857142857142857
74 0.2 0.0 0.02857142857142857
75 0.2 0.0 0.02857142857142857
76 0.2 0.0 0.02857142857142857
77 0.2 0.0 0.02857142857142857
78 0.22857142857142856 0.0 0.02857142857142857
79 0.2571428571428571 0.0 0.02857142857142857
80 0.2571428571428571 0.0 0.02857142857142857
81 0.2857142857142857 0.0 0.02857142857142857
82 0.2857142857142857 0.0 0.05714285714285714
83 0.2571428571428571 0.0 0.05714285714285714
84 0.2571428571428571 0.0 0.05714285714285714
85 0.2571428571428571 0.0 0.05714285714285714
86 0.22857142857142856 0.0 0.08571428571428572
87 0.22857142857142856 0.0 0.08571428571428572
88 0.22857142857142856 0.0 0.08571428571428572
89 0.2571428571428571 0.0 0.11428571428571428
90 0.2571428571428571 0.0 0.11428571428571428
91 0.2571428571428571 0.0 0.11428571428571428
92 0.2571428571428571 0.02857142857142857 0.14285714285714285
93 0.2571428571428571 0.02857142857142857 0.14285714285714285
94 0.2571428571428571 0.02857142857142857 0.11428571428571428
95 0.2571428571428571 0.02857142857142857 0.11428571428571428
96 0.2571428571428571 0.02857142857142857 0.14285714285714285
97 0.2571428571428571 0.02857142857142857 0.14285714285714285
98 0.2571428571428571 0.05714285714285714 0.14285714285714285
99 0.2571428571428571 0.05714285714285714 0.14285714285714285
100 0.2571428571428571 0.05714285714285714 0.14285714285714285
101 0.2571428571428571 0.05714285714285714 0.14285714285714285
102 0.22857142857142856 0.05714285714285714 0.14285714285714285
103 0.22857142857142856 0.05714285714285714 0.14285714285714285
104 0.22857142857142856 0.05714285714285714 0.17142857142857143
105 0.22857142857142856 0.08571428571428572 0.17142857142857143
106 0.2571428571428571 0.08571428571428572 0.17142857142857143
107 0.2571428571428571 0.08571428571428572 0.14285714285714285
108 0.2857142857142857 0.08571428571428572 0.17142857142857143
109 0.2857142857142857 0.08571428571428572 0.17142857142857143
110 0.2857142857142857 0.11428571428571428 0.17142857142857143
111 0.2857142857142857 0.11428571428571428 0.14285714285714285
112 0.3142857142857143 0.11428571428571428 0.14285714285714285
