pedestrianId targetId reachTime-PID12
1 500 25.99999999999997
2 500 24.799999999999976
3 1000 78.40000000000003
4 1000 187.20000000000158
5 11 40.39999999999992
6 1000 80.40000000000006
7 1000 86.00000000000014
8 1000 194.8000000000017
9 1000 192.40000000000165
10 1000 84.00000000000011
11 11 51.99999999999988
12 1000 196.4000000000017
13 500 35.59999999999994
14 500 37.19999999999993
15 1000 199.20000000000175
16 1000 200.80000000000177
17 11 49.999999999999886
18 1000 89.6000000000002
19 11 52.799999999999876
20 1000 203.2000000000018
21 1000 203.6000000000018
22 1000 205.20000000000184
23 1000 208.00000000000188
24 11 56.399999999999864
25 500 48.39999999999989
26 500 44.799999999999905
27 1000 209.2000000000019
28 1000 211.20000000000192
29 1000 212.80000000000194
30 1000 214.00000000000196
31 1000 217.200000000002
32 1000 102.80000000000038
33 11 64.39999999999984
34 1000 215.60000000000198
35 11 67.59999999999988
36 1000 105.60000000000042
37 500 55.999999999999865
38 500 67.99999999999989
39 1000 218.40000000000202
40 1000 220.00000000000205
41 1000 233.20000000000223
42 1000 110.00000000000048
43 1000 222.40000000000208
44 1000 224.0000000000021
45 1000 118.0000000000006
46 1000 228.80000000000217
47 11 76.80000000000001
48 1000 225.60000000000213
49 500 74.39999999999998
50 500 69.99999999999991
51 1000 120.40000000000063
52 11 94.00000000000026
53 1000 126.80000000000072
54 11 87.60000000000016
55 1000 122.80000000000067
56 1000 124.8000000000007
57 1000 128.40000000000074
58 1000 234.80000000000226
59 1000 236.00000000000227
60 1000 130.00000000000077
61 500 77.60000000000002
62 500 80.00000000000006
63 11 95.60000000000028
64 11 97.6000000000003
65 1000 133.60000000000082
66 1000 131.6000000000008
67 1000 241.20000000000235
68 11 93.20000000000024
69 1000 244.4000000000024
70 1000 135.60000000000085
71 1000 246.80000000000243
72 1000 247.60000000000244
73 500 86.80000000000015
74 500 89.20000000000019
75 11 99.20000000000033
76 1000 138.8000000000009
77 1000 250.40000000000248
78 1000 140.40000000000092
79 11 102.40000000000038
80 1000 142.40000000000094
81 1000 253.20000000000252
82 11 104.0000000000004
83 1000 148.40000000000103
84 1000 146.400000000001
85 500 97.6000000000003
86 500 98.40000000000032
87 1000 150.40000000000106
88 11 107.20000000000044
