timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
727 349 350 0.3807483440375383 0.009251655962461691
1090 471 505 0.38590076234061443 0.0040992376593855795
1235 550 589 0.38404851132029894 0.005951488679701078
