timeStep velocity-PID25 density-PID25 velocity-PID27 density-PID27 velocity-PID29 density-PID29
1 0.0 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0 0.0
3 0.0 0.0 0.0 0.0 0.0 0.0
4 0.0 0.0 0.0 0.0 0.0 0.0
5 0.9611336103851503 0.02857142857142857 0.0 0.0 0.0 0.0
6 0.9999999999999967 0.02857142857142857 0.0 0.0 0.0 0.0
7 1.0000000000000056 0.05714285714285714 0.0 0.0 0.0 0.0
8 1.0000000000000056 0.05714285714285714 0.0 0.0 0.0 0.0
9 0.9999999999999878 0.05714285714285714 0.0 0.0 0.0 0.0
10 1.0000000000000056 0.05714285714285714 0.0 0.0 0.0 0.0
11 1.0000000000000056 0.05714285714285714 0.0 0.0 0.0 0.0
12 0.9999999999999967 0.05714285714285714 0.0 0.0 0.0 0.0
13 0.9999999999999867 0.05714285714285714 0.0 0.0 0.0 0.0
14 1.0000000000000133 0.05714285714285714 0.0 0.0 0.0 0.0
15 1.0000000000000044 0.05714285714285714 0.0 0.0 0.0 0.0
16 0.9999999999999956 0.05714285714285714 0.0 0.0 0.0 0.0
17 0.9999999999999956 0.05714285714285714 0.0 0.0 0.0 0.0
18 1.0000000000000133 0.05714285714285714 0.0 0.0 0.0 0.0
19 0.9999999999999956 0.05714285714285714 0.0 0.0 0.0 0.0
20 0.9999999999999867 0.05714285714285714 0.0 0.0 0.0 0.0
21 1.0000000000000067 0.05714285714285714 0.0 0.0 0.0 0.0
22 1.0000000000000133 0.05714285714285714 0.0 0.0 0.0 0.0
23 0.9999999999999867 0.05714285714285714 0.0 0.0 0.0 0.0
24 0.9999999999999956 0.05714285714285714 0.0 0.0 0.0 0.0
25 1.0000000000000044 0.05714285714285714 0.0 0.0 0.0 0.0
26 0.9799733474467203 0.05714285714285714 0.0 0.0 0.0 0.0
27 0.9579433110941109 0.05714285714285714 0.0 0.0 0.0 0.0
28 0.9718451470865848 0.08571428571428572 0.0 0.0 0.0 0.0
29 0.9719622073960746 0.08571428571428572 0.0 0.0 0.0 0.0
30 0.9991976871750744 0.08571428571428572 0.0 0.0 0.0 0.0
31 1.0000000000000073 0.08571428571428572 0.0 0.0 0.0 0.0
32 0.9846277458865541 0.11428571428571428 0.0 0.0 0.0 0.0
33 0.9553783731649317 0.11428571428571428 0.0 0.0 0.0 0.0
34 0.96914991325229 0.11428571428571428 0.0 0.0 0.0 0.0
35 0.9968920553200837 0.11428571428571428 0.0 0.0 0.0 0.0
36 0.9999977502932684 0.11428571428571428 0.0 0.0 0.0 0.0
37 0.9433714950157603 0.11428571428571428 0.0 0.0 0.0 0.0
38 0.9535590336346402 0.11428571428571428 0.0 0.0 0.0 0.0
