 sim_time real_time ratio_sim_real
208 129.086 455.33 0.130027
209 129.321 457.335 0.117252
210 129.586 459.336 0.132382
211 129.816 461.338 0.114911
212 130.04 463.34 0.111878
213 130.288 465.34 0.123995
214 130.535 467.341 0.123465
215 130.791 469.344 0.127812
216 131.019134 471.352 0.113609
217 131.268 473.352 0.124411
218 131.533 475.354 0.13237
219 131.767 477.357 0.116812
220 132.018 479.363 0.125155
221 132.268 481.369 0.124635
222 132.509 483.372 0.120268
223 132.703 485.382 0.096552
224 132.913 487.386 0.104752
225 133.099 489.393 0.0927207
226 133.313 491.621 0.0960276
227 133.529 493.629 0.107572
228 133.723 495.634 0.0967394
229 133.945 497.636 0.110886
230 134.146 499.639 0.100369
231 134.376 501.647 0.114545
232 134.566 503.654 0.0946455
233 134.8 505.713 0.113656
234 135.014 507.715 0.106919
235 135.257 509.718 0.121325
236 135.501 511.721 0.121795
237 135.727 513.724 0.112822
238 135.98 515.733 0.125962
239 136.207 517.734 0.113417
240 136.424 519.737 0.108342
241 136.681 521.744 0.128048
242 136.907 523.748 0.112777
243 137.154 525.753 0.123173
244 137.364 527.755 0.104926
245 137.605 529.758 0.120315
246 137.815134 531.761 0.104884
247 138.042 533.769 0.11301
248 138.3 535.773 0.128763
249 138.513 537.781 0.10604
250 138.702134 539.784 0.0944398
251 138.928 541.79 0.112587
252 139.157 543.8 0.113964
253 139.387 545.806 0.114644
254 139.613 547.81 0.112764
255 139.846134 549.817 0.116137
256 140.075 551.822 0.114182
257 140.297 553.823 0.110903
258 140.516 555.825 0.109418
259 140.729 557.832 0.10614
260 140.937 559.832 0.103963
261 141.136 561.834 0.0994129
262 141.33 563.836 0.0968937
263 141.542 565.838 0.105913
264 141.751 567.84 0.104386
265 141.967 569.847 0.107634
266 142.17 571.851 0.101318
267 142.401 573.851 0.115475
268 142.623 575.86 0.110513
269 142.827 577.861 0.101963
270 143.029 579.867 0.100689
271 143.226 581.869 0.0983824
272 143.45 583.874 0.111727
273 143.633 586.272 0.0763283
274 143.857 588.272 0.111953
275 144.044 590.275 0.0933609
276 144.242 592.28 0.0987565
277 144.462 594.288 0.109604
278 144.662 596.289 0.0999414
279 144.876 598.293 0.10679
280 145.075 600.3 0.0991305
281 145.266 602.301 0.0954409
282 145.476 604.303 0.104899
283 145.649 606.319 0.0858243
284 145.839 608.324 0.0947726
285 146.024 610.332 0.0921391
286 146.242 612.333 0.108901
287 146.437 614.338 0.0972808
288 146.644 616.341 0.103351
289 146.863 618.341 0.109468
290 147.042134 620.342 0.0895428
291 147.232 622.347 0.0946932
292 147.447 624.355 0.1071
293 147.633 626.361 0.0926927
294 147.848 628.367 0.107195
295 148.034 630.372 0.0927464
296 148.254 632.38 0.109588
297 148.404 634.38 0.0749786
298 148.614 636.383 0.104842
299 148.817 638.383 0.101496
300 149.014 640.388 0.0982655
301 149.211301174453 642.388 0.0986475
302 149.438 644.397 0.112833
303 149.629 646.4 0.0953848
304 149.815 648.402 0.0929176
305 150.0 650.425 0.0914393
306 150.224 652.426 0.111928
307 150.425 654.43 0.100305
308 150.628 656.444 0.100791
309 150.824 658.455 0.0974461
310 151.01 660.462 0.092693
311 151.193 662.463 0.0914575
312 151.364 664.467 0.0853175
313 151.577 666.472 0.10625
314 151.746134 668.474 0.0844674
315 151.916 670.476 0.0848542
316 152.094 672.483 0.0886795
317 152.294 674.49 0.099683
318 152.459 676.49 0.0824774
319 152.649 678.494 0.0948455
320 152.769 680.498 0.0598815
321 152.955 682.502 0.0928071
322 153.138134 684.504 0.0914731
323 153.305 686.51 0.0831635
324 153.498 688.515 0.0962916
325 153.662134 690.518 0.0819076
326 153.834 692.52 0.0858523
327 154.012 694.527 0.0887124
328 154.191 696.531 0.0893066
329 154.387 698.539 0.0976
330 154.56 700.548 0.0861104
331 154.734 702.555 0.086701
332 154.916 704.562 0.0907023
333 155.086 706.571 0.0846025
334 155.229 708.576 0.0713413
335 155.431 710.578 0.100868
336 155.609 712.579 0.0889543
337 155.798 714.592 0.0939153
338 156.0 716.723 0.0948032
339 156.175 718.734 0.0869987
340 156.366 720.741 0.0951868
341 156.56 722.75 0.0965508
342 156.748 724.752 0.0938929
343 156.928 726.758 0.0897433
344 157.057 728.762 0.064368
345 157.242134 730.768 0.0922804
346 157.435 732.769 0.0963887
347 157.617 734.771 0.0909339
348 157.797 736.773 0.089886
349 157.99 738.775 0.0964309
350 158.163 740.784 0.0861164
351 158.362 742.785 0.0994199
352 158.539 744.787 0.0884263
353 158.73 746.788 0.0954627
354 158.898 748.792 0.083798
355 159.067 750.795 0.0843747
356 159.238134 752.797 0.0855051
357 159.423 754.8 0.0922923
358 159.611 756.817 0.0931847
359 159.794 758.824 0.0911916
360 159.976 760.829 0.0907851
361 160.14 762.837 0.0816662
362 160.327 764.846 0.0931042
363 160.502 766.857 0.0870134
364 160.678 768.858 0.0879483
365 160.827 770.86 0.0744335
366 161.0 772.981 0.0815587
367 161.146 774.99 0.0726714
368 161.306 776.991 0.0799382
369 161.466 778.999 0.0797169
370 161.645 781.003 0.0892893
371 161.818 783.005 0.0864072
372 161.997 785.015 0.0890932
373 162.154 787.021 0.0782586
374 162.321 789.026 0.0832657
375 162.482 791.028 0.0804444
376 162.652 793.033 0.0847689
377 162.807134 795.036 0.0774456
378 162.957 797.044 0.0746564
379 163.12 799.057 0.0809652
380 163.267 801.062 0.073323
381 163.428 803.07 0.0801863
382 163.590134 805.07 0.0810347
383 163.737 807.077 0.0732042
384 163.906 809.078 0.0844265
385 164.068 811.082 0.080838
386 164.22 813.085 0.0758925
387 164.4 815.087 0.0899346
388 164.552 817.103 0.0753761
389 164.713 819.107 0.0803669
390 164.861 821.113 0.0737696
391 165.016 823.116 0.0773577
392 165.142 825.126 0.0627072
393 165.304 827.138 0.0805021
394 165.469 829.142 0.0823274
395 165.62 831.152 0.0751256
