 DockerStatsCPUPerc DockerStatsCPUPerc DockerStatsCPUPerc DockerStatsRamGByte DockerStatsRamGByte DockerStatsRamGByte
container flowcontrol omnetpp vadere flowcontrol omnetpp vadere
"Execution time in s"      
0   100.40096438902744   0.076541952
1   0.0830064291054074   0.075771904
3   0.1250980294956004   0.073773056
5   0.0863031986114555   0.073773056
6 38.55199770630765   0.048713728  
7 0.0  0.0755870743226447 0.047362048  0.073773056
9 0.0  0.113361071162906 0.04694016  0.073773056
11 0.0  0.0760791252485089 0.04677632  0.073756672
13 0.0  0.0846984837186179 0.04677632  0.073756672
15 0.0  0.0778803130045957 0.046739456  0.073756672
17 0.0  0.0712270176309908 0.046706688  0.073756672
19 0.0  0.0710523366803024 0.046706688  0.073756672
21 0.0  0.0633814791796146 0.04655104  0.073756672
23 0.0  0.0846666832483521 0.046518272  0.073756672
25 0.0  0.0671621554507077 0.046501888  0.073756672
27 0.0  0.0781351902511813 0.046501888  0.073756672
29 0.0  0.0921770166294365 0.046501888  0.073756672
31 0.0  0.0727865755127408 0.046501888  0.073756672
33 0.0  0.1014308265078183 0.046501888  0.073756672
35 0.0  0.0700687321139728 0.046501888  0.073756672
37 0.0  309.6271655240934 0.046501888  0.196227072
38  5.899922881987578   0.054751232 
39 0.0 0.0 111.68866953937592 0.046501888 0.054751232 1.734856704
42 0.0 0.0 100.2298281613462 0.046501888 0.054751232 3.574747136
44 0.0 0.0 123.75231536174432 0.046501888 0.054751232 4.065189888
46 0.0 0.0 126.2654641416017 0.046501888 0.054734848 4.06628352
48 0.0 0.0 161.14613290402477 0.046501888 0.054734848 4.067377152
50 0.0 0.0 168.57437650557625 0.046501888 0.054734848 4.06796288
52 0.0 0.0 151.04751966194382 0.046485504 0.054734848 4.071612416
54 0.0 0.0 158.36373234126987 0.046485504 0.054734848 4.083073024
56 0.0 0.0 198.36873762745583 0.046485504 0.054734848 4.10085376
58 0.0 0.0 219.16012562391893 0.046485504 0.054734848 4.119740416
60 0.0 0.0 181.239455857196 0.046485504 0.054734848 4.130070528
62 0.0 0.0 165.95831656563155 0.046485504 0.054734848 4.629413888
64 0.0 0.0 221.0921909722222 0.046485504 0.054734848 5.02050816
66 0.0 0.0 114.55631918691124 0.046485504 0.054734848 5.032206336
68 0.0 0.0 101.23396627704552 0.046485504 0.054734848 5.032292352
70 0.0 0.0 100.02008529886916 0.046485504 0.054734848 5.242417152
72 0.0 0.0 100.08196897149936 0.04646912 0.054718464 5.24099584
74 0.0 0.0 100.09393365587395 0.04646912 0.054718464 5.310541824
76 0.0 79.35714742345034 154.5015263833992 0.046555136 0.065110016 5.346725888
78 0.4846763491668739 86.82568456889108 78.31549497762308 0.048267264 0.073138176 5.37073664
80 0.5943069906542057 86.49784836116264 41.372143304176426 0.04827136 0.082579456 5.351292928
82 0.6286131546289401 89.39472259985115 32.79968736202405 0.048173056 0.087027712 5.351948288
84 0.5391280653950954 90.09655216152608 28.0035668524712 0.048185344 0.091783168 5.34720512
86 0.5789463948284436 92.3432250338795 37.44600577114427 0.04818944 0.09598976 5.352144896
