#CELLSIZE=5.000000,DATACOL=-1,DATATYPE=pedestrianCount,IDXCOL=3,MAP_TYPE=ymfPlusDistStep,NODE_ID=18,SEP=;,SIM_BBOX=0;0;164.1;215.1,VERSION=0.4,XOFFSET=-692273.889474,XSIZE=164.100000,YOFFSET=-5337503.566101,YSIZE=215.100000
simtime;x;y;count;measured_t;received_t;source;selection;selectionRank;sourceHost;sourceEntry;hostEntry;rsd_id;own_cell
10;13;8;0;2.958300665171;9.324134;416;ymfPlusDistStep;0.0166667;43.7339;3.37859;52.4258;-1;0
10;13;9;0;8.348300665171;9.324134;416;ymfPlusDistStep;0.0166667;43.7339;47.4425;47.4425;-1;0
10;13;10;1;9.682;9.730134;18;ymfPlusDistStep;0.02;0;42.4632;42.4632;1;0
10;13;15;2;9.957;9.979134;18;ymfPlusDistStep;0.0166667;0;17.7421;17.7421;1;0
10;13;16;0;6.318300665171;9.324134;416;ymfPlusDistStep;0.0166667;43.7339;3.09422;12.9272;-1;0
10;14;8;0;3.758300665171;9.324134;416;ymfPlusDistStep;0.0166667;43.7339;3.95307;53.0495;-1;0
10;14;9;0;9.048300665171;9.324134;416;ymfPlusDistStep;0.0166667;43.7339;31.9751;48.1309;-1;0
10;14;10;1;9.526;9.547134;18;ymfPlusDistStep;0.0333333;0;43.2309;43.2309;1;0
10;14;16;1;9.798;9.820134;18;ymfPlusDistStep;0.0166667;0;15.2611;15.2611;1;0
11;12;16;0;8.947234781801;10.738134;489;ymfPlusDistStep;0.0142857;16.1343;5.27705;12.3014;-1;0
11;12;17;1;10.631872990966;10.723134;562;ymfPlusDistStep;0.0142857;7.39383;1.90434;7.32503;-1;0
11;13;8;1;10.895;10.916134;18;ymfPlusDistStep;0.0142857;0;52.4258;52.4258;1;0
11;13;9;0;8.367234781801;10.738134;489;ymfPlusDistStep;0.0142857;16.1343;47.4425;47.4425;-1;0
11;13;10;1;10.809;10.836134;18;ymfPlusDistStep;0.0142857;0;42.4632;42.4632;1;0
11;13;15;0;10.557234781801;10.738134;489;ymfPlusDistStep;0.0142857;16.1343;8.64606;17.7421;-1;0
11;13;16;2;10.557234781801;10.738134;489;ymfPlusDistStep;0.0142857;16.1343;6.82774;12.9272;-1;0
11;14;8;0;3.777234781801;10.738134;489;ymfPlusDistStep;0.0142857;16.1343;3.95307;53.0495;-1;0
11;14;9;0;9.067234781801;10.738134;489;ymfPlusDistStep;0.0142857;16.1343;31.9751;48.1309;-1;0
11;14;10;1;10.962;10.984134;18;ymfPlusDistStep;0.0142857;0;43.2309;43.2309;1;0
11;14;16;1;10.864;10.886134;18;ymfPlusDistStep;0.0142857;0;15.2611;15.2611;1;0
12;12;16;0;8.962262775852;11.698134;416;ymfPlusDistStep;0.0142857;41.7518;5.27705;12.3014;-1;0
12;12;17;1;11.755;11.777134;18;ymfPlusDistStep;0.0142857;0;7.32503;7.32503;1;0
12;13;8;2;11.865;11.887134;18;ymfPlusDistStep;0.0142857;0;52.4258;52.4258;1;0
12;13;9;0;8.382262775852;11.698134;416;ymfPlusDistStep;0.0142857;41.7518;47.4425;47.4425;-1;0
12;13;10;1;11.502262775852;11.698134;416;ymfPlusDistStep;0.0142857;41.7518;27.205;42.4632;-1;0
12;13;15;1;11.847;11.868134;18;ymfPlusDistStep;0.0142857;0;17.7421;17.7421;1;0
12;13;16;1;11.707;11.729134;18;ymfPlusDistStep;0.0142857;0;12.9272;12.9272;1;0
12;14;8;0;3.792262775852;11.698134;416;ymfPlusDistStep;0.0142857;41.7518;3.95307;53.0495;-1;0
12;14;9;0;9.082262775852;11.698134;416;ymfPlusDistStep;0.0142857;41.7518;31.9751;48.1309;-1;0
12;14;10;1;11.552262775852;11.698134;416;ymfPlusDistStep;0.0142857;41.7518;3.28727;43.2309;-1;0
12;14;16;1;11.79;11.811134;18;ymfPlusDistStep;0.0142857;0;15.2611;15.2611;1;0
13;12;16;0;8.982182066403;12.893134;489;ymfPlusDistStep;0.0125;16.0114;5.27705;12.3014;-1;0
13;12;17;1;12.862;12.884134;18;ymfPlusDistStep;0.0125;0;7.32503;7.32503;1;0
13;13;8;2;12.772182066403;12.893134;489;ymfPlusDistStep;0.0125;16.0114;42.1193;52.4258;-1;0
13;13;9;0;8.402182066403;12.893134;489;ymfPlusDistStep;0.0125;16.0114;47.4425;47.4425;-1;0
13;13;10;1;12.832182066403;12.893134;489;ymfPlusDistStep;0.0125;16.0114;32.4166;42.4632;-1;0
13;13;15;1;12.965;12.987134;18;ymfPlusDistStep;0.0125;0;17.7421;17.7421;1;0
13;13;16;1;12.692182066403;12.893134;489;ymfPlusDistStep;0.0125;16.0114;7.82887;12.9272;-1;0
13;14;8;0;3.812182066403;12.893134;489;ymfPlusDistStep;0.0125;16.0114;3.95307;53.0495;-1;0
13;14;9;0;9.102182066403;12.893134;489;ymfPlusDistStep;0.0125;16.0114;31.9751;48.1309;-1;0
13;14;10;1;12.672182066403;12.893134;489;ymfPlusDistStep;0.0125;16.0114;31.5486;43.2309;-1;0
13;14;16;0;12.712182066403;12.893134;489;ymfPlusDistStep;0.0125;16.0114;3.27971;15.2611;-1;0
13;15;16;1;12.731134;12.731134;18;ymfPlusDistStep;0.05;0;18.6733;18.6733;1;0
14;12;16;0;9.014335712987;13.975134;1076;ymfPlusDistStep;0.0111111;11.7304;5.27705;12.3014;-1;0
14;12;17;0;13.957;13.978134;18;ymfPlusDistStep;0.0111111;0;7.32503;7.32503;1;0
14;12;18;1;13.978134;13.978134;18;ymfPlusDistStep;1;0;2.44688;2.44688;1;0
14;13;8;0;13.874335712987;13.975134;1076;ymfPlusDistStep;0.0111111;11.7304;40.8554;52.4258;-1;0
