 time diss_time hostId
0 10.021134 0.021134 416
1 12.021134 0.021134 416
2 14.021134 0.021134 416
3 16.021134 0.021134 416
4 18.021134 0.021134 416
5 20.021134 0.021134 416
6 22.021134 0.021134 416
7 24.021134 0.021134 416
8 10.021134 0.021134 343
9 12.021134 0.021134 343
10 14.021134 0.021134 343
11 16.021134 0.021134 343
12 18.021134 0.021134 343
13 20.021134 0.021134 343
14 22.021134 0.021134 343
15 24.021134 0.021134 343
16 10.021134 0.021134 1221
17 12.021134 0.021134 1221
18 14.021134 0.021134 1221
19 16.021134 0.021134 1221
20 18.021134 0.021134 1221
21 20.021134 0.021134 1221
22 22.021134 0.021134 1221
23 24.021134 0.021134 1221
24 26.021134 0.021134 1221
25 28.021134 0.021134 1221
26 30.021134 0.021134 1221
27 12.021134 0.021134 1294
28 14.021134 0.021134 1294
29 16.021134 0.021134 1294
30 18.021134 0.021134 1294
31 20.021134 0.021134 1294
32 22.021134 0.021134 1294
33 24.021134 0.021134 1294
34 26.021134 0.021134 1294
35 28.021134 0.021134 1294
36 30.021134 0.021134 1294
37 10.021134 0.021134 1003
38 12.021134 0.021134 1003
39 14.021134 0.021134 1003
40 16.021134 0.021134 1003
41 18.021134 0.021134 1003
42 20.021134 0.021134 1003
43 22.021134 0.021134 1003
44 24.021134 0.021134 1003
45 26.021134 0.021134 1003
46 28.021134 0.021134 1003
47 30.021134 0.021134 1003
48 36.021134 0.021134 1003
49 38.021134 0.021134 1003
50 10.021134 0.021134 1076
51 12.021134 0.021134 1076
52 14.021134 0.021134 1076
53 16.021134 0.021134 1076
54 18.021134 0.021134 1076
55 20.021134 0.021134 1076
56 22.021134 0.021134 1076
57 24.021134 0.021134 1076
58 26.021134 0.021134 1076
59 28.021134 0.021134 1076
60 30.021134 0.021134 1076
61 36.021134 0.021134 1076
62 38.021134 0.021134 1076
63 10.021134 0.021134 489
64 12.021134 0.021134 489
65 14.021134 0.021134 489
66 16.021134 0.021134 489
67 18.021134 0.021134 489
68 20.021134 0.021134 489
69 22.021134 0.021134 489
70 24.021134 0.021134 489
71 26.021134 0.021134 489
72 28.021134 0.021134 489
73 30.021134 0.021134 489
74 36.021134 0.021134 489
75 38.021134 0.021134 489
76 10.021134 0.021134 562
77 12.021134 0.021134 562
78 14.021134 0.021134 562
79 16.021134 0.021134 562
80 18.021134 0.021134 562
81 20.021134 0.021134 562
82 22.021134 0.021134 562
83 24.021134 0.021134 562
84 26.021134 0.021134 562
85 28.021134 0.021134 562
86 30.021134 0.021134 562
87 36.021134 0.021134 562
88 38.021134 0.021134 562
89 16.021134 0.021134 1821
90 18.021134 0.021134 1821
91 20.021134 0.021134 1821
92 22.021134 0.021134 1821
93 24.021134 0.021134 1821
94 26.021134 0.021134 1821
95 28.021134 0.021134 1821
96 30.021134 0.021134 1821
97 36.021134 0.021134 1821
98 38.021134 0.021134 1821
99 16.021134 0.021134 1894
100 18.021134 0.021134 1894
101 20.021134 0.021134 1894
102 22.021134 0.021134 1894
103 24.021134 0.021134 1894
104 26.021134 0.021134 1894
105 28.021134 0.021134 1894
106 30.021134 0.021134 1894
107 36.021134 0.021134 1894
108 38.021134 0.021134 1894
109 18.021134 0.021134 2095
110 20.021134 0.021134 2095
111 22.021134 0.021134 2095
112 24.021134 0.021134 2095
113 26.021134 0.021134 2095
114 28.021134 0.021134 2095
115 30.021134 0.021134 2095
116 36.021134 0.021134 2095
117 38.021134 0.021134 2095
118 18.021134 0.021134 2168
119 20.021134 0.021134 2168
120 22.021134 0.021134 2168
121 24.021134 0.021134 2168
122 26.021134 0.021134 2168
123 28.021134 0.021134 2168
124 30.021134 0.021134 2168
125 38.021134 0.021134 2168
126 24.021134 0.021134 2799
127 26.021134 0.021134 2799
128 28.021134 0.021134 2799
129 30.021134 0.021134 2799
130 36.021134 0.021134 2799
131 38.021134 0.021134 2799
132 24.021134 0.021134 2872
133 26.021134 0.021134 2872
134 28.021134 0.021134 2872
135 30.021134 0.021134 2872
136 36.021134 0.021134 2872
137 38.021134 0.021134 2872
138 26.021134 0.021134 3125
139 28.021134 0.021134 3125
140 30.021134 0.021134 3125
141 38.021134 0.021134 3125
142 26.021134 0.021134 3198
143 28.021134 0.021134 3198
144 30.021134 0.021134 3198
145 36.021134 0.021134 3198
146 38.021134 0.021134 3198
147 36.021134 0.021134 4263
148 38.021134 0.021134 4263
149 36.021134 0.021134 4336
150 38.021134 0.021134 4336
151 36.021134 0.021134 3966
152 38.021134 0.021134 3966
153 38.021134 0.021134 3893
154 40.021134 0.021134 1003
155 42.022134 0.022134 1003
156 44.021134 0.021134 1003
157 40.021134 0.021134 1076
158 42.022134 0.022134 1076
159 44.021134 0.021134 1076
160 40.021134 0.021134 489
161 42.022134 0.022134 489
162 44.021134 0.021134 489
163 40.021134 0.021134 562
164 42.022134 0.022134 562
165 44.021134 0.021134 562
166 40.021134 0.021134 1821
167 42.022134 0.022134 1821
168 44.021134 0.021134 1821
169 40.021134 0.021134 1894
170 42.022134 0.022134 1894
171 44.021134 0.021134 1894
172 40.021134 0.021134 2095
173 42.022134 0.022134 2095
174 44.021134 0.021134 2095
175 40.021134 0.021134 2168
176 42.022134 0.022134 2168
177 44.021134 0.021134 2168
178 40.021134 0.021134 2799
179 42.022134 0.022134 2799
180 44.021134 0.021134 2799
181 40.021134 0.021134 2872
182 42.022134 0.022134 2872
183 44.021134 0.021134 2872
184 40.021134 0.021134 3125
185 42.022134 0.022134 3125
186 44.021134 0.021134 3125
187 40.021134 0.021134 3198
188 42.022134 0.022134 3198
189 44.021134 0.021134 3198
190 40.021134 0.021134 4263
191 42.022134 0.022134 4263
192 44.021134 0.021134 4263
193 40.021134 0.021134 4336
194 42.022134 0.022134 4336
195 44.021134 0.021134 4336
196 40.021134 0.021134 3966
197 42.022134 0.022134 3966
198 44.021134 0.021134 3966
199 40.021134 0.021134 3893
200 44.021134 0.021134 3893
201 40.021134 0.021134 5047
202 42.022134 0.022134 5047
203 44.021134 0.021134 5047
204 40.021134 0.021134 5120
205 44.021134 0.021134 5120
206 44.021134 0.021134 5521
207 44.021134 0.021134 5594
208 56.021134 0.021134 2168
209 56.021134 0.021134 1076
210 60.021134 0.021134 1076
211 56.021134 0.021134 489
212 60.021134 0.021134 489
213 56.021134 0.021134 562
214 60.021134 0.021134 562
215 56.021134 0.021134 1821
216 60.021134 0.021134 1821
217 56.021134 0.021134 1894
218 60.021134 0.021134 1894
219 56.021134 0.021134 2095
220 60.021134 0.021134 2095
221 56.021134 0.021134 2799
222 60.021134 0.021134 2799
223 56.021134 0.021134 2872
224 60.021134 0.021134 2872
225 56.021134 0.021134 3125
226 60.021134 0.021134 3125
227 56.021134 0.021134 3198
228 60.021134 0.021134 3198
229 56.021134 0.021134 4263
230 60.021134 0.021134 4263
231 56.021134 0.021134 4336
232 60.021134 0.021134 4336
233 56.021134 0.021134 3966
234 60.021134 0.021134 3966
235 56.021134 0.021134 3893
236 60.021134 0.021134 3893
237 56.021134 0.021134 5047
238 60.021134 0.021134 5047
239 56.021134 0.021134 5120
240 60.021134 0.021134 5120
241 56.021134 0.021134 5521
242 60.021134 0.021134 5521
243 56.021134 0.021134 5594
244 60.021134 0.021134 5594
245 56.021134 0.021134 6453
246 60.021134 0.021134 6453
247 56.021134 0.021134 6526
248 60.021134 0.021134 6526
249 56.021134 0.021134 6599
250 60.021134 0.021134 6599
251 56.021134 0.021134 6672
252 60.021134 0.021134 6672
253 60.021134 0.021134 8389
254 60.021134 0.021134 8462
255 60.021134 0.021134 7913
256 60.021134 0.021134 7986
257 64.021134 0.021134 3125
258 64.021134 0.021134 1076
259 66.021134 0.021134 1076
260 68.021134 0.021134 1076
261 70.021134 0.021134 1076
262 72.021134 0.021134 1076
263 64.021134 0.021134 489
264 66.021134 0.021134 489
265 68.021134 0.021134 489
266 70.021134 0.021134 489
267 72.021134 0.021134 489
268 64.021134 0.021134 562
269 66.021134 0.021134 562
270 68.021134 0.021134 562
271 70.021134 0.021134 562
272 72.021134 0.021134 562
273 64.021134 0.021134 1821
274 66.021134 0.021134 1821
275 68.021134 0.021134 1821
276 70.021134 0.021134 1821
277 72.021134 0.021134 1821
278 64.021134 0.021134 1894
279 66.021134 0.021134 1894
280 68.021134 0.021134 1894
281 70.021134 0.021134 1894
282 72.021134 0.021134 1894
283 64.021134 0.021134 2095
284 66.021134 0.021134 2095
285 68.021134 0.021134 2095
286 70.021134 0.021134 2095
287 72.021134 0.021134 2095
288 64.021134 0.021134 2799
289 66.021134 0.021134 2799
290 68.021134 0.021134 2799
291 70.021134 0.021134 2799
292 72.021134 0.021134 2799
293 64.021134 0.021134 2872
294 66.021134 0.021134 2872
295 68.021134 0.021134 2872
296 70.021134 0.021134 2872
297 72.021134 0.021134 2872
298 64.021134 0.021134 3198
299 66.021134 0.021134 3198
300 68.021134 0.021134 3198
301 70.021134 0.021134 3198
302 72.021134 0.021134 3198
303 64.021134 0.021134 4263
304 66.021134 0.021134 4263
305 68.021134 0.021134 4263
306 70.021134 0.021134 4263
307 72.021134 0.021134 4263
308 64.021134 0.021134 4336
309 66.021134 0.021134 4336
310 68.021134 0.021134 4336
311 70.021134 0.021134 4336
312 72.021134 0.021134 4336
313 64.021134 0.021134 3966
314 66.021134 0.021134 3966
315 68.021134 0.021134 3966
316 70.021134 0.021134 3966
317 72.021134 0.021134 3966
318 64.021134 0.021134 3893
319 66.021134 0.021134 3893
320 68.021134 0.021134 3893
321 70.021134 0.021134 3893
322 72.021134 0.021134 3893
323 64.021134 0.021134 5047
324 66.021134 0.021134 5047
325 68.021134 0.021134 5047
326 70.021134 0.021134 5047
327 72.021134 0.021134 5047
328 64.021134 0.021134 5120
329 66.021134 0.021134 5120
330 68.021134 0.021134 5120
331 70.021134 0.021134 5120
332 72.021134 0.021134 5120
333 64.021134 0.021134 5521
334 66.021134 0.021134 5521
335 68.021134 0.021134 5521
336 70.021134 0.021134 5521
337 72.021134 0.021134 5521
338 64.021134 0.021134 5594
339 66.021134 0.021134 5594
340 68.021134 0.021134 5594
341 70.021134 0.021134 5594
342 72.021134 0.021134 5594
343 64.021134 0.021134 6453
344 66.021134 0.021134 6453
345 68.021134 0.021134 6453
346 70.021134 0.021134 6453
347 72.021134 0.021134 6453
348 64.021134 0.021134 6526
349 66.021134 0.021134 6526
350 68.021134 0.021134 6526
351 70.021134 0.021134 6526
352 72.021134 0.021134 6526
353 64.021134 0.021134 6599
354 66.021134 0.021134 6599
355 68.021134 0.021134 6599
356 70.021134 0.021134 6599
357 72.021134 0.021134 6599
358 64.021134 0.021134 6672
359 66.021134 0.021134 6672
360 68.021134 0.021134 6672
361 70.021134 0.021134 6672
362 72.021134 0.021134 6672
363 64.021134 0.021134 8389
364 66.021134 0.021134 8389
365 68.021134 0.021134 8389
366 70.021134 0.021134 8389
367 72.021134 0.021134 8389
368 64.021134 0.021134 8462
369 66.021134 0.021134 8462
370 68.021134 0.021134 8462
371 70.021134 0.021134 8462
372 72.021134 0.021134 8462
373 64.021134 0.021134 7913
374 66.021134 0.021134 7913
375 68.021134 0.021134 7913
376 70.021134 0.021134 7913
377 72.021134 0.021134 7913
378 64.021134 0.021134 7986
