id,run_id,timeStep,corridorRecommended
0,0,26,11
0,0,31,21
0,0,36,31
0,0,41,11
0,0,46,21
0,0,51,31
0,0,56,11
0,0,61,21
0,0,66,31
0,0,71,11
0,0,76,21
0,0,81,31
0,0,86,11
0,0,91,21
0,0,96,31
0,0,101,11
0,0,106,21
0,0,111,31
0,0,116,11
0,0,121,21
0,0,126,31
0,0,131,11
0,0,136,21
0,0,141,31
0,0,146,11
0,0,151,21
0,0,156,31
0,0,161,11
0,0,166,21
0,0,171,31
0,0,176,11
0,0,181,21
0,0,186,31
0,0,191,11
0,0,196,21
0,0,201,31
0,0,206,11
0,0,211,21
0,0,216,31
0,0,221,11
0,0,226,21
0,0,231,31
0,0,236,11
0,0,241,21
0,0,246,31
0,0,251,11
0,0,256,21
0,0,261,31
0,0,266,11
0,0,271,21
0,0,276,31
0,0,281,11
0,0,286,21
0,0,291,31
0,0,296,11
0,0,301,21
0,0,306,31
0,0,311,11
0,0,316,21
0,0,321,31
0,0,326,11
0,0,331,21
0,0,336,31
0,0,341,11
0,0,346,21
0,0,351,31
0,0,356,11
0,0,361,21
0,0,366,31
0,0,371,11
0,0,376,21
0,0,381,31
0,0,386,11
0,0,391,21
0,0,396,31
0,0,401,11
0,0,406,21
0,0,411,31
0,0,416,11
0,0,421,21
0,0,426,31
0,0,431,11
0,0,436,21
0,0,441,31
0,0,446,11
0,0,451,21
0,0,456,31
0,0,461,11
0,0,466,21
0,0,471,31
0,0,476,11
0,0,481,21
0,0,486,31
0,0,491,11
0,0,496,21
0,0,501,31
0,0,506,11
0,0,511,21
0,0,516,31
0,0,521,11
0,0,526,21
0,0,531,31
0,0,536,11
0,0,541,21
0,0,546,31
0,0,551,11
0,0,556,21
0,0,561,31
0,0,566,11
0,0,571,21
0,0,576,31
0,0,581,11
0,0,586,21
0,0,591,31
0,0,596,11
0,0,601,21
0,0,606,31
0,0,611,11
0,0,616,21
0,0,621,31
0,0,626,11
0,0,631,21
0,0,636,31
0,0,641,11
0,0,646,21
0,0,651,31
0,0,656,11
0,0,661,21
0,0,666,31
0,0,671,11
0,0,676,21
0,0,681,31
0,0,686,11
0,0,691,21
0,0,696,31
0,0,701,11
0,0,706,21
0,0,711,31
0,0,716,11
0,0,721,21
0,0,726,31
0,0,731,11
0,0,736,21
0,0,741,31
0,0,746,11
0,0,751,21
0,0,756,31
0,0,761,11
0,0,766,21
0,0,771,31
0,0,776,11
0,0,781,21
0,0,786,31
0,0,791,11
0,0,796,21
0,0,801,31
0,0,806,11
0,0,811,21
0,0,816,31
0,0,821,11
0,0,826,21
0,0,831,31
0,0,836,11
0,0,841,21
0,0,846,31
0,0,851,11
0,0,856,21
0,0,861,31
0,0,866,11
0,0,871,21
0,0,876,31
0,0,881,11
0,0,886,21
0,0,891,31
0,0,896,11
0,0,901,21
0,0,906,31
0,0,911,11
0,0,916,21
0,0,921,31
0,0,926,11
0,0,931,21
