id,run_id,"('Parameter', 'omnet', '*.traci.launcher.seed')","('Parameter', 'omnet', '*.traci.launcher.useVadereSeed')","('Parameter', 'vadere', 'sources.[id==1].spawner.distribution.updateFrequency')","('Parameter', 'vadere', 'sources.[id==2].spawner.distribution.updateFrequency')","('Parameter', 'vadere', 'sources.[id==5].spawner.distribution.updateFrequency')","('Parameter', 'vadere', 'sources.[id==6].spawner.distribution.updateFrequency')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,74895,false,20.0,20.0,20.0,20.0,85.87452721595764,0
1,0,74895,false,19.7428,19.7428,19.7428,19.7428,66.3701319694519,0
2,0,74895,false,19.4922,19.4922,19.4922,19.4922,65.58754324913025,0
3,0,74895,false,19.2478,19.2478,19.2478,19.2478,52.58552432060242,0
4,0,74895,false,19.0095,19.0095,19.0095,19.0095,69.28333592414856,0
5,0,74895,false,18.777,18.777,18.777,18.777,63.127700328826904,0
6,0,74895,false,18.5502,18.5502,18.5502,18.5502,64.81909036636353,0
7,0,74895,false,18.3287,18.3287,18.3287,18.3287,92.47486734390259,0
8,0,74895,false,18.1125,18.1125,18.1125,18.1125,88.07688212394714,0
9,0,74895,false,17.9013,17.9013,17.9013,17.9013,70.86660408973694,0
10,0,74895,false,17.695,17.695,17.695,17.695,66.2115797996521,0
11,0,74895,false,17.4934,17.4934,17.4934,17.4934,91.8227288722992,0
12,0,74895,false,17.2964,17.2964,17.2964,17.2964,65.99006819725037,0
13,0,74895,false,17.1037,17.1037,17.1037,17.1037,91.39596724510193,0
14,0,74895,false,16.9153,16.9153,16.9153,16.9153,67.89569735527039,0
15,0,74895,false,16.7309,16.7309,16.7309,16.7309,77.14700078964233,0
16,0,74895,false,16.5506,16.5506,16.5506,16.5506,84.97754335403442,0
17,0,74895,false,16.3741,16.3741,16.3741,16.3741,96.31647801399231,0
18,0,74895,false,16.2013,16.2013,16.2013,16.2013,73.08015966415405,0
19,0,74895,false,16.0321,16.0321,16.0321,16.0321,62.627803325653076,0
20,0,74895,false,15.8665,15.8665,15.8665,15.8665,73.29200029373169,0
21,0,74895,false,15.7042,15.7042,15.7042,15.7042,73.75179433822632,0
22,0,74895,false,15.5452,15.5452,15.5452,15.5452,66.35542607307434,0
23,0,74895,false,15.3894,15.3894,15.3894,15.3894,55.828213691711426,0
24,0,74895,false,15.2366,15.2366,15.2366,15.2366,57.21206712722778,0
25,0,74895,false,15.0869,15.0869,15.0869,15.0869,68.81888389587402,0
26,0,74895,false,14.9401,14.9401,14.9401,14.9401,72.9514799118042,0
27,0,74895,false,14.7961,14.7961,14.7961,14.7961,106.33422327041626,0
28,0,74895,false,14.6549,14.6549,14.6549,14.6549,72.45764660835266,0
29,0,74895,false,14.5164,14.5164,14.5164,14.5164,67.26407384872437,0
30,0,74895,false,14.3804,14.3804,14.3804,14.3804,100.40169835090637,0
31,0,74895,false,14.247,14.247,14.247,14.247,74.145015001297,0
32,0,74895,false,14.116,14.116,14.116,14.116,64.07036232948303,0
33,0,74895,false,13.9874,13.9874,13.9874,13.9874,77.84893488883972,0
34,0,74895,false,13.8611,13.8611,13.8611,13.8611,70.86796951293945,0
35,0,74895,false,13.7371,13.7371,13.7371,13.7371,65.93112063407898,0
36,0,74895,false,13.6153,13.6153,13.6153,13.6153,64.54219222068787,0
37,0,74895,false,13.4956,13.4956,13.4956,13.4956,58.021111726760864,0
38,0,74895,false,13.378,13.378,13.378,13.378,59.92636275291443,0
39,0,74895,false,13.2625,13.2625,13.2625,13.2625,91.60047340393066,0
40,0,74895,false,13.1489,13.1489,13.1489,13.1489,64.01580286026001,0
41,0,74895,false,13.0372,13.0372,13.0372,13.0372,74.70296502113342,0
42,0,74895,false,12.9275,12.9275,12.9275,12.9275,103.12510800361633,0
43,0,74895,false,12.8195,12.8195,12.8195,12.8195,69.1263861656189,0
44,0,74895,false,12.7134,12.7134,12.7134,12.7134,79.81632423400879,0
45,0,74895,false,12.609,12.609,12.609,12.609,62.53014063835144,0
46,0,74895,false,12.5063,12.5063,12.5063,12.5063,71.39708042144775,0
47,0,74895,false,12.4052,12.4052,12.4052,12.4052,73.48635673522949,0
48,0,74895,false,12.3058,12.3058,12.3058,12.3058,62.9968683719635,0
49,0,74895,false,12.208,12.208,12.208,12.208,56.13762187957764,0
50,0,74895,false,12.1117,12.1117,12.1117,12.1117,57.25209593772888,0
51,0,74895,false,12.0169,12.0169,12.0169,12.0169,74.6151807308197,0
52,0,74895,false,11.9235,11.9235,11.9235,11.9235,91.62596011161804,0
53,0,74895,false,11.8317,11.8317,11.8317,11.8317,74.18892550468445,0
54,0,74895,false,11.7412,11.7412,11.7412,11.7412,79.50328588485718,0
55,0,74895,false,11.6521,11.6521,11.6521,11.6521,79.76319909095764,0
56,0,74895,false,11.5643,11.5643,11.5643,11.5643,67.3267707824707,0
57,0,74895,false,11.4779,11.4779,11.4779,11.4779,85.33047890663147,0
58,0,74895,false,11.3927,11.3927,11.3927,11.3927,74.22722101211548,0
59,0,74895,false,11.3088,11.3088,11.3088,11.3088,82.27906680107117,0
60,0,74895,false,11.2261,11.2261,11.2261,11.2261,78.50990438461304,0
61,0,74895,false,11.1446,11.1446,11.1446,11.1446,68.49878525733948,0
62,0,74895,false,11.0643,11.0643,11.0643,11.0643,92.1871886253357,0
63,0,74895,false,10.9851,10.9851,10.9851,10.9851,70.5177412033081,0
64,0,74895,false,10.9071,10.9071,10.9071,10.9071,60.70483374595642,0
65,0,74895,false,10.8302,10.8302,10.8302,10.8302,81.337726354599,0
66,0,74895,false,10.7543,10.7543,10.7543,10.7543,97.45429158210754,0
67,0,74895,false,10.6795,10.6795,10.6795,10.6795,78.23697113990784,0
68,0,74895,false,10.6057,10.6057,10.6057,10.6057,82.88158988952637,0
69,0,74895,false,10.533,10.533,10.533,10.533,69.3851969242096,0
70,0,74895,false,10.4612,10.4612,10.4612,10.4612,87.51210927963257,0
71,0,74895,false,10.3904,10.3904,10.3904,10.3904,77.18598532676697,0
72,0,74895,false,10.3206,10.3206,10.3206,10.3206,69.91516375541687,0
73,0,74895,false,10.2517,10.2517,10.2517,10.2517,63.80238080024719,0
74,0,74895,false,10.1837,10.1837,10.1837,10.1837,69.46769857406616,0
75,0,74895,false,10.1166,10.1166,10.1166,10.1166,62.01718091964722,0
76,0,74895,false,10.0504,10.0504,10.0504,10.0504,63.41064167022705,0
77,0,74895,false,9.985,9.985,9.985,9.985,58.0844202041626,0
78,0,74895,false,9.9205,9.9205,9.9205,9.9205,93.37617182731628,0
79,0,74895,false,9.8568,9.8568,9.8568,9.8568,75.74915289878845,0
80,0,74895,false,9.7939,9.7939,9.7939,9.7939,85.14086079597473,0
81,0,74895,false,9.7318,9.7318,9.7318,9.7318,76.90182709693909,0
82,0,74895,false,9.6705,9.6705,9.6705,9.6705,74.72111010551453,0
83,0,74895,false,9.61,9.61,9.61,9.61,83.95708107948303,0
