id,run_id,index,timeToInform95PercentAgents
0,0,0,inf
1,0,0,inf
2,0,0,9.200000000000005
3,0,0,10.0
4,0,0,inf
5,0,0,inf
6,0,0,inf
7,0,0,inf
8,0,0,inf
9,0,0,inf
10,0,0,5.200000000000003
11,0,0,5.200000000000003
12,0,0,4.0
13,0,0,inf
14,0,0,5.200000000000003
15,0,0,inf
16,0,0,inf
17,0,0,6.0
18,0,0,6.0
19,0,0,9.200000000000005
20,0,0,inf
21,0,0,inf
22,0,0,inf
23,0,0,inf
24,0,0,inf
25,0,0,inf
26,0,0,8.0
27,0,0,7.200000000000003
28,0,0,5.200000000000003
29,0,0,inf
30,0,0,inf
31,0,0,inf
32,0,0,inf
33,0,0,7.200000000000003
34,0,0,7.200000000000003
35,0,0,7.200000000000003
36,0,0,7.200000000000003
37,0,0,4.0
38,0,0,4.0
39,0,0,5.200000000000003
40,0,0,4.0
41,0,0,4.0
42,0,0,4.0
43,0,0,9.200000000000005
44,0,0,inf
45,0,0,inf
46,0,0,inf
47,0,0,inf
48,0,0,4.0
49,0,0,4.0
50,0,0,5.200000000000003
51,0,0,5.200000000000003
52,0,0,inf
53,0,0,10.0
54,0,0,6.0
55,0,0,6.0
56,0,0,9.200000000000005
57,0,0,9.200000000000005
58,0,0,4.0
59,0,0,8.0
60,0,0,8.0
61,0,0,9.200000000000005
62,0,0,9.200000000000005
63,0,0,7.200000000000003
64,0,0,9.200000000000005
65,0,0,9.200000000000005
66,0,0,9.200000000000005
67,0,0,9.200000000000005
68,0,0,10.0
69,0,0,inf
70,0,0,5.200000000000003
71,0,0,inf
72,0,0,inf
73,0,0,6.0
74,0,0,inf
75,0,0,10.0
76,0,0,inf
77,0,0,inf
78,0,0,inf
79,0,0,7.200000000000003
80,0,0,4.0
81,0,0,4.0
82,0,0,5.200000000000003
83,0,0,5.200000000000003
84,0,0,4.0
85,0,0,inf
86,0,0,inf
87,0,0,inf
88,0,0,inf
89,0,0,inf
90,0,0,inf
91,0,0,7.200000000000003
92,0,0,8.0
93,0,0,inf
94,0,0,10.0
95,0,0,7.200000000000003
96,0,0,inf
97,0,0,inf
98,0,0,9.200000000000005
99,0,0,9.200000000000005
100,0,0,9.200000000000005
101,0,0,4.0
102,0,0,inf
103,0,0,inf
104,0,0,inf
105,0,0,8.0
106,0,0,8.0
107,0,0,4.0
108,0,0,4.0
109,0,0,4.0
110,0,0,5.200000000000003
111,0,0,9.200000000000005
112,0,0,4.0
113,0,0,4.0
114,0,0,4.0
115,0,0,10.0
116,0,0,9.200000000000005
